,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,overall_score
5668,18,1,0,1,4.8,74.7,0,1,0,2,59.5
5669,18,0,1,5,0.7,89.2,0,3,1,2,34.6
5670,16,1,1,0,3.1,96.5,0,0,0,2,67.5
5671,17,2,1,0,3.9,62.0,0,0,0,0,46.1
5672,19,1,1,3,4.3,99.4,0,1,1,1,77.3
5673,17,1,0,3,1.2,72.1,0,2,1,4,36.9
5674,16,2,1,0,7.2,88.6,0,2,1,1,100.0
5675,15,2,0,5,3.0,75.9,0,3,1,4,55.2
5676,17,0,0,1,4.2,64.9,1,0,0,4,64.8
5677,16,0,0,5,5.5,55.4,0,0,1,0,67.4
5678,17,0,1,2,5.9,58.1,0,3,0,5,72.4
5679,14,2,1,4,3.3,82.4,0,1,1,2,54.0
5680,15,1,0,2,1.5,77.7,0,2,0,1,40.3
5681,18,2,0,0,2.1,71.6,0,3,1,2,51.8
5682,16,1,0,0,1.7,81.3,0,2,1,0,55.8
5683,16,2,0,2,2.3,75.4,0,3,1,0,46.4
5684,17,2,1,5,5.0,57.1,0,3,0,1,63.2
5685,16,0,1,3,4.5,63.1,0,2,1,5,56.4
5686,18,2,0,0,1.8,71.6,0,2,1,3,37.1
5687,15,2,1,2,5.6,69.9,0,0,0,3,74.1
5688,18,0,1,0,1.0,95.1,0,1,0,4,37.5
5689,15,1,1,4,7.3,97.1,0,1,1,0,100.0
5690,16,2,1,2,4.7,76.7,0,0,0,3,60.4
5691,17,2,0,3,4.9,63.3,0,0,1,2,55.7
5692,19,1,0,1,2.6,89.9,0,3,1,3,50.9
5693,15,1,1,3,4.3,59.1,0,1,0,5,65.9
5694,17,0,1,4,3.7,74.6,1,3,1,3,51.8
5695,14,1,0,5,7.6,99.7,0,0,0,4,100.0
5696,14,1,0,5,1.1,93.7,0,3,0,0,45.4
5697,18,1,0,4,3.9,96.5,0,3,1,3,72.3
5698,18,0,1,0,6.4,54.9,1,3,1,0,71.2
5699,16,2,1,0,4.6,73.1,0,2,0,5,65.5
5700,17,1,1,1,4.7,88.5,0,3,0,1,82.6
5701,16,0,0,2,7.3,57.8,1,2,0,2,77.7
5702,15,1,0,0,3.3,88.4,0,1,1,4,55.3
5703,16,1,1,3,0.5,67.1,0,1,1,4,21.5
5704,15,0,1,1,7.4,94.4,1,3,0,3,99.6
5705,18,1,0,0,0.7,70.9,1,1,0,2,26.5
5706,16,2,1,1,6.5,62.5,0,1,1,4,84.2
5707,15,2,0,4,1.5,95.8,0,0,0,1,52.5
5708,17,0,1,4,0.7,85.6,0,2,1,3,45.7
5709,18,1,1,4,3.2,73.1,0,1,1,3,59.0
5710,15,1,0,0,7.0,98.1,0,2,0,0,100.0
5711,19,2,0,5,0.8,80.1,0,0,1,3,48.1
5712,16,2,0,0,2.5,79.4,1,0,0,4,53.6
5713,17,1,1,2,2.6,68.1,0,3,0,1,44.2
5714,19,0,0,3,1.2,91.7,0,1,0,5,48.3
5715,16,1,1,4,1.2,79.3,0,1,0,5,41.9
5716,15,0,0,5,7.3,81.1,0,1,0,3,85.0
5717,18,2,0,1,5.7,96.8,0,2,1,0,80.5
5718,14,2,1,2,2.8,63.5,0,1,1,3,50.9
5719,16,2,1,3,2.3,89.5,0,3,0,2,53.6
5720,19,1,0,2,0.8,90.5,0,0,0,1,38.9
5721,16,2,1,0,3.2,53.2,0,3,0,1,48.5
5722,18,1,1,0,2.8,86.1,0,0,0,4,52.3
5723,17,1,1,4,7.4,91.5,0,2,0,5,100.0
5724,15,2,0,4,2.2,76.8,1,0,0,1,53.6
5725,15,0,0,2,3.5,55.6,0,1,1,5,43.3
5726,17,2,0,5,5.6,53.9,0,0,0,3,63.2
5727,14,2,1,4,2.9,51.2,0,3,1,1,38.9
5728,16,1,1,0,6.4,68.3,0,3,1,0,73.6
5729,16,0,1,4,5.9,81.1,1,1,0,4,74.4
5730,19,2,1,1,0.8,78.5,1,2,1,4,29.7
5731,14,0,1,1,6.9,75.5,1,0,1,0,81.9
5732,19,2,1,4,3.2,70.9,0,3,1,5,45.0
5733,16,2,0,5,1.2,84.0,0,0,0,0,48.5
5734,17,1,0,4,5.7,94.2,0,3,0,1,77.0
5735,17,1,0,0,6.1,91.3,0,3,0,0,77.4
5736,15,0,0,5,1.0,85.8,0,2,0,2,47.4
5737,19,1,1,4,3.2,64.6,0,1,0,2,56.5
5738,15,0,1,2,7.2,97.0,1,0,0,0,94.8
5739,14,2,1,5,5.5,93.1,0,1,1,0,88.7
5740,18,1,0,0,4.5,97.4,0,3,0,1,73.2
5741,17,0,1,0,4.3,81.0,0,2,0,2,67.0
5742,19,2,1,5,5.1,66.6,1,3,1,1,73.3
5743,16,0,1,3,5.4,72.6,0,1,0,0,64.9
5744,14,1,1,5,1.0,66.4,0,2,1,4,25.6
5745,14,0,0,3,3.0,67.5,1,1,0,5,53.4
5746,16,0,1,3,4.4,71.3,0,1,1,0,60.9
5747,15,0,1,2,6.0,96.8,0,3,1,5,81.4
5748,19,0,0,3,6.1,74.9,0,2,0,5,85.1
5749,14,2,0,3,5.0,70.2,0,0,0,4,70.0
5750,19,2,1,3,4.9,82.0,1,2,0,2,79.8
5751,15,2,0,4,3.3,64.3,0,3,1,1,51.1
5752,14,2,0,4,6.8,50.4,0,2,1,0,76.3
5753,15,1,0,4,7.4,86.5,0,2,0,4,100.0
5754,14,1,1,2,6.8,66.6,1,0,1,4,79.7
5755,16,0,1,5,7.0,61.9,0,2,0,1,85.5
5756,15,2,0,2,7.3,76.8,0,2,0,1,84.0
5757,17,1,0,4,2.0,58.1,0,1,0,5,29.5
5758,17,1,1,3,4.4,63.9,0,0,0,4,63.2
5759,14,0,0,2,4.5,75.6,0,1,1,4,62.6
5760,14,1,1,2,4.1,98.7,0,3,0,1,66.5
5761,14,2,0,5,6.9,62.2,0,3,1,3,89.5
5762,15,1,1,2,2.9,73.4,0,3,1,1,47.3
5763,14,1,0,1,1.7,76.4,0,2,1,0,52.5
5764,15,2,1,1,2.6,85.6,0,3,0,1,57.8
5765,17,0,1,3,1.6,76.1,0,2,0,2,36.0
5766,15,2,0,4,3.5,86.7,0,2,1,1,70.2
5767,15,2,0,3,1.4,93.2,0,0,0,4,40.6
5768,16,1,1,2,1.2,64.1,0,1,1,5,38.2
5769,17,2,0,0,3.9,91.8,0,0,0,3,65.0
5770,15,0,0,1,5.0,63.1,0,2,0,4,59.4
5771,15,0,0,4,5.1,90.5,0,0,0,5,75.8
5772,16,0,0,2,1.2,81.8,0,1,1,3,35.7
5773,14,1,1,1,7.8,78.4,0,3,0,1,100.0
5774,16,2,1,5,1.4,73.2,0,3,0,2,42.9
5775,19,1,1,5,5.5,77.3,1,0,0,3,75.6
5776,16,2,1,2,7.2,61.7,0,1,1,5,86.1
5777,14,0,1,0,7.1,74.9,0,0,1,5,94.7
5778,18,2,0,2,4.3,80.4,0,2,0,0,70.1
5779,14,0,0,5,2.6,69.1,0,1,1,0,57.5
5780,15,1,1,4,6.7,69.1,1,2,1,2,77.0
5781,14,2,0,0,5.1,67.4,0,3,0,1,76.9
5782,19,2,0,1,6.4,90.9,0,0,1,4,91.3
5783,19,2,0,0,3.5,69.2,0,3,0,0,52.5
5784,17,1,1,5,7.4,79.0,0,3,1,5,93.3
5785,17,1,1,3,7.5,98.6,1,3,1,2,100.0
5786,17,1,0,5,6.0,51.5,0,3,1,1,66.7
5787,17,1,0,4,7.6,61.0,0,1,1,1,86.1
5788,17,2,1,3,3.9,96.3,0,3,0,4,61.9
5789,19,1,0,4,2.0,85.8,0,3,1,3,45.3
5790,18,1,0,3,5.4,68.8,0,0,0,5,60.8
5791,14,1,1,1,5.4,54.5,0,0,0,2,59.0
5792,16,0,1,4,4.2,75.7,0,0,1,1,72.8
5793,19,0,1,4,2.5,89.2,0,3,0,2,51.7
5794,16,1,0,4,5.2,71.1,1,3,1,4,71.0
5795,15,1,0,1,1.9,92.2,0,2,0,5,53.9
5796,19,1,0,0,6.1,64.5,0,3,1,5,78.8
5797,17,2,1,4,7.3,74.8,0,1,1,0,87.3
5798,17,2,0,3,1.7,54.5,0,2,1,3,28.1
5799,16,2,0,1,6.7,76.3,0,2,0,2,86.4
5800,14,1,1,5,2.0,93.1,0,0,1,2,56.1
5801,16,2,0,4,4.3,57.6,0,1,1,2,55.6
5802,16,2,1,3,7.5,80.5,0,0,1,2,100.0
5803,19,0,0,5,1.1,65.7,0,1,0,3,32.5
5804,15,1,0,4,1.2,67.7,0,1,1,4,27.2
5805,14,1,1,4,7.7,50.4,0,0,0,1,74.8
5806,16,2,1,2,1.7,76.6,0,1,1,4,53.2
5807,19,1,0,0,3.1,99.3,0,1,1,5,69.4
5808,16,0,1,3,3.9,57.3,0,2,1,4,60.9
5809,16,0,1,1,0.6,61.7,0,3,1,4,38.8
5810,18,0,1,4,1.9,61.3,0,1,1,0,43.8
5811,17,0,0,4,6.7,78.1,0,1,0,2,78.2
5812,15,0,0,2,4.4,59.5,1,0,0,1,65.9
5813,19,2,1,0,3.5,97.6,0,3,0,1,61.1
5814,17,1,1,4,5.6,84.8,0,0,1,1,82.4
5815,14,2,1,5,2.9,81.3,0,2,0,1,46.4
5816,16,2,0,0,3.8,50.2,0,1,0,0,47.3
5817,19,1,1,0,8.0,73.5,0,2,1,4,93.7
5818,16,1,1,4,6.3,90.5,0,3,0,0,90.6
5819,17,0,1,5,4.7,75.3,0,0,1,4,74.8
5820,17,2,0,1,4.5,86.9,0,1,1,1,61.9
5821,18,1,1,4,6.8,84.1,0,3,0,5,94.4
5822,19,2,0,4,5.0,96.5,0,0,1,5,83.6
5823,14,0,1,5,3.0,68.3,0,0,1,1,57.6
5824,17,0,1,2,3.6,91.3,0,1,0,0,65.8
5825,17,0,0,5,1.9,63.0,0,0,1,5,42.1
5826,14,2,0,2,7.7,77.9,0,1,1,4,85.0
5827,18,1,1,0,5.4,80.9,0,3,1,2,81.9
5828,14,0,0,2,3.5,72.1,0,1,1,5,49.8
5829,16,0,0,5,3.2,55.1,1,0,1,5,49.6
5830,15,1,0,5,7.3,71.7,0,2,1,4,82.9
5831,14,2,0,0,3.2,59.8,0,3,0,0,41.8
5832,18,2,1,5,6.2,74.4,0,1,1,2,74.0
5833,15,1,1,1,6.8,51.0,0,2,1,0,65.1
5834,15,2,0,5,7.3,74.2,0,3,0,0,82.9
5835,19,0,0,1,3.3,68.9,0,2,0,0,52.6
5836,19,2,0,3,6.2,50.7,0,3,1,2,71.6
5837,14,0,1,4,3.0,81.1,0,3,0,0,49.6
5838,15,1,0,3,7.6,65.7,0,0,1,3,82.8
5839,18,2,0,1,0.6,79.1,0,0,0,2,39.9
5840,18,2,0,3,4.8,94.3,1,3,1,5,70.1
5841,19,0,0,2,4.3,93.2,0,0,1,1,68.1
5842,17,1,0,5,7.1,75.2,0,0,1,5,88.1
5843,14,0,1,0,2.1,73.6,0,0,1,4,45.8
5844,19,0,1,4,1.2,76.7,0,3,0,1,37.8
5845,14,1,1,1,6.8,69.5,0,0,1,3,85.7
5846,14,1,1,1,3.1,64.8,0,1,1,3,46.4
5847,18,0,0,4,2.9,57.9,0,0,0,2,44.1
5848,17,2,0,0,1.3,95.8,1,2,1,1,49.7
5849,14,1,1,3,7.4,53.1,0,3,1,0,78.8
5850,15,1,1,4,5.2,67.3,0,2,1,2,65.3
5851,17,1,0,2,5.7,58.3,0,3,0,0,78.1
5852,15,1,0,0,7.2,53.0,0,0,1,0,74.1
5853,18,0,0,1,6.8,58.6,0,0,0,3,74.6
5854,16,1,0,0,3.9,72.8,0,0,0,2,52.4
5855,17,2,1,4,1.7,77.9,0,2,1,4,54.5
5856,16,1,0,2,5.5,94.7,0,3,0,4,88.2
5857,16,1,1,3,5.4,84.2,0,1,1,4,71.0
5858,16,2,1,5,0.9,90.1,0,0,0,1,37.2
5859,18,1,1,2,7.2,77.7,0,2,1,4,86.4
5860,17,0,0,0,3.0,60.1,1,2,0,0,46.6
5861,17,0,0,4,3.7,92.5,0,1,0,4,64.7
5862,17,2,0,2,4.4,73.7,0,1,0,0,63.1
5863,15,1,0,2,7.3,88.6,1,0,1,5,90.4
5864,19,1,0,0,1.8,50.3,0,3,0,2,28.6
5865,17,0,0,2,3.3,72.3,0,3,0,5,50.7
5866,18,0,0,2,4.3,66.9,0,0,0,1,57.1
5867,19,1,1,0,7.9,64.9,0,3,0,3,90.1
5868,19,2,0,1,3.8,83.7,0,3,0,1,55.4
5869,18,0,0,0,3.5,91.2,0,3,0,4,58.0
5870,18,1,1,3,7.5,93.2,0,3,1,1,98.2
5871,16,2,0,5,5.5,90.0,0,3,0,5,76.4
5872,18,0,0,2,1.7,90.6,0,1,0,1,51.4
5873,15,0,0,3,1.8,91.8,1,3,1,1,57.9
5874,18,0,0,3,5.3,84.7,0,3,1,5,83.6
5875,14,2,1,2,4.0,88.0,0,1,1,2,59.6
5876,19,1,1,4,0.6,61.1,0,3,0,2,24.1
5877,15,2,0,3,3.9,97.9,0,2,1,0,74.5
5878,17,2,1,1,7.5,75.2,1,3,0,1,90.8
5879,14,1,1,1,6.1,63.1,0,3,0,5,65.6
5880,14,0,1,0,4.7,72.7,0,1,0,3,74.7
5881,19,0,1,3,2.0,91.2,0,0,1,4,55.8
5882,19,1,0,3,3.0,84.6,0,0,1,4,48.2
5883,15,1,0,2,8.0,57.6,0,2,0,1,82.4
5884,14,0,0,4,5.4,71.9,0,1,1,4,81.6
5885,18,2,0,1,2.6,87.8,0,3,0,4,54.6
5886,19,0,1,2,6.0,84.7,0,0,1,4,76.3
5887,15,1,0,4,1.2,59.5,0,3,1,5,26.9
5888,17,2,0,1,3.3,87.1,0,3,1,2,53.8
5889,15,1,1,1,2.2,83.7,1,1,0,0,55.1
5890,18,2,0,1,7.2,62.2,0,2,0,1,86.7
5891,16,0,1,1,6.0,65.4,0,3,1,5,78.3
5892,14,2,0,0,4.2,71.0,0,1,1,4,70.1
5893,15,2,0,5,3.6,83.7,0,3,1,5,69.7
5894,17,2,0,5,6.9,97.6,0,1,0,2,85.5
5895,18,0,1,4,2.0,99.7,0,2,0,3,49.3
5896,14,0,0,2,1.1,84.5,0,0,0,2,35.4
5897,19,0,0,2,6.9,70.6,0,0,1,4,80.4
5898,17,2,1,4,6.9,53.4,1,0,0,1,73.8
5899,19,0,1,1,2.3,79.6,0,3,1,2,57.3
5900,19,1,1,1,2.0,74.1,0,3,0,1,45.8
5901,14,1,1,3,5.9,83.5,0,2,1,3,84.7
5902,14,2,1,5,1.6,98.2,0,2,1,5,44.6
5903,18,2,1,3,5.2,58.3,0,1,1,4,57.8
5904,15,0,1,4,5.8,68.5,0,2,1,0,65.3
5905,14,2,0,4,5.2,78.8,0,1,1,2,66.5
5906,16,0,0,4,3.7,67.5,0,0,0,2,51.6
5907,19,0,0,2,6.6,58.8,0,0,1,3,77.8
5908,18,0,1,1,7.5,79.9,0,2,0,5,95.2
5909,17,1,1,3,5.8,52.0,1,0,1,4,72.2
5910,15,1,0,0,3.6,68.9,1,0,0,2,61.9
5911,16,2,0,0,8.0,98.6,0,2,0,3,97.3
5912,18,2,0,0,3.9,73.9,1,2,0,3,52.2
5913,14,1,1,0,1.4,55.1,0,0,1,5,31.4
5914,17,1,1,5,1.9,91.7,0,0,1,4,60.9
5915,14,0,1,3,3.1,59.0,1,0,0,1,48.3
5916,15,2,1,5,1.8,62.5,0,3,0,5,45.4
5917,15,1,1,1,6.3,98.1,0,2,0,3,97.5
5918,18,2,0,3,0.6,88.8,0,3,1,4,41.3
5919,19,1,1,5,3.5,66.1,0,1,0,3,48.7
5920,14,2,0,0,7.1,82.4,0,1,1,0,94.9
5921,18,2,1,2,1.4,74.4,0,0,0,3,42.8
5922,17,2,0,5,4.8,94.6,0,3,0,1,85.6
5923,19,1,1,0,7.5,78.0,1,1,1,4,93.1
5924,19,0,0,4,1.0,83.0,1,2,0,4,49.4
5925,14,0,0,3,3.1,57.5,0,3,0,4,46.7
5926,18,1,0,0,0.8,62.5,0,1,1,0,41.2
5927,17,2,1,5,5.6,51.3,1,1,0,2,63.9
5928,14,2,1,2,3.6,79.4,0,2,1,4,55.0
5929,15,0,0,3,7.6,78.1,1,0,1,4,92.4
5930,19,1,1,2,5.7,65.4,0,3,0,3,62.1
5931,17,2,1,2,5.0,61.6,1,0,1,3,69.3
5932,16,0,1,4,7.3,72.7,0,2,0,1,92.0
5933,15,1,1,5,1.5,55.2,0,2,1,4,41.4
5934,19,2,0,5,6.4,92.6,1,0,1,0,92.6
5935,15,0,1,0,6.0,91.6,0,1,1,5,75.4
5936,14,0,0,2,5.5,79.8,1,1,0,0,83.7
5937,17,1,0,2,5.3,95.1,0,1,0,4,81.1
5938,19,2,0,3,1.4,80.7,0,2,1,5,45.7
5939,15,0,0,0,6.6,74.5,0,2,0,4,80.9
5940,15,2,0,2,5.3,80.0,1,2,0,0,72.9
5941,16,0,1,5,6.3,54.3,0,2,0,3,69.7
5942,15,1,0,1,7.1,60.9,0,2,0,2,87.1
5943,17,1,1,4,4.6,77.9,0,2,0,3,58.0
5944,15,0,1,5,7.7,55.6,0,3,1,3,77.5
5945,14,2,0,3,1.3,90.5,0,2,0,2,51.6
5946,15,2,0,4,0.5,58.5,0,1,1,5,25.6
5947,19,2,1,2,3.0,70.9,1,1,1,0,50.8
5948,19,0,1,2,2.1,74.2,0,3,0,1,48.9
5949,17,1,1,5,4.7,57.9,0,3,1,3,52.3
5950,16,2,1,1,2.6,62.1,0,3,1,0,49.4
5951,18,0,1,3,5.7,74.2,0,2,1,3,80.8
5952,15,1,0,3,7.6,55.3,0,0,1,2,80.9
5953,17,1,1,2,6.3,59.4,0,0,0,1,78.1
5954,18,1,1,5,3.7,51.2,0,2,1,4,49.2
5955,18,1,1,3,7.9,75.3,0,0,1,5,91.7
5956,15,2,0,0,6.3,91.1,0,2,1,3,77.3
5957,18,0,1,3,6.6,90.5,0,3,1,0,98.6
5958,17,2,1,4,2.0,67.7,0,0,0,0,42.8
5959,19,2,0,1,5.7,84.4,0,1,1,1,86.8
5960,15,0,1,3,1.0,99.5,0,3,1,1,46.0
5961,17,2,1,4,2.3,71.2,0,3,0,1,42.4
5962,18,0,0,2,0.6,95.7,0,0,1,3,48.2
5963,15,0,1,3,5.8,88.9,0,1,0,3,87.4
5964,18,1,1,3,0.7,58.8,0,3,1,4,37.1
5965,14,2,1,3,3.9,72.2,0,1,1,0,65.4
5966,18,2,0,0,5.4,96.5,0,0,1,5,85.8
5967,17,1,1,3,2.8,58.4,0,1,0,5,35.9
5968,15,2,1,1,3.3,52.9,0,3,1,1,40.9
5969,14,0,1,3,7.0,63.4,0,3,0,5,82.9
5970,18,2,1,2,7.3,50.2,0,0,0,3,80.0
5971,15,1,0,2,6.9,56.4,0,1,0,5,80.8
5972,16,0,0,4,6.1,71.3,0,0,0,5,80.0
5973,14,0,0,0,2.6,88.2,0,2,1,0,48.3
5974,19,0,1,4,1.1,60.7,0,2,1,5,42.0
5975,17,0,0,3,4.2,92.5,0,0,0,1,69.6
5976,19,0,1,3,7.4,99.4,0,1,1,4,100.0
5977,14,2,1,2,2.2,73.2,1,1,0,2,51.7
5978,15,0,1,2,2.1,99.6,0,3,1,3,50.9
5979,17,1,1,1,6.3,78.9,0,2,0,4,80.2
5980,17,2,1,4,4.9,53.0,0,1,1,1,51.5
5981,18,0,0,0,3.5,55.5,0,0,1,1,40.8
5982,19,2,1,2,7.0,75.6,0,2,1,2,79.2
5983,18,1,0,0,4.9,96.1,0,3,1,3,70.0
5984,14,0,1,3,7.4,54.9,0,3,1,1,85.5
5985,15,2,1,5,3.3,78.6,0,3,1,5,57.7
5986,19,1,0,5,3.8,90.6,0,0,0,1,64.4
5987,17,1,0,2,1.1,99.2,0,0,0,5,41.8
5988,19,2,1,2,3.3,95.4,0,2,1,2,62.4
5989,17,2,0,3,1.8,55.3,0,3,1,2,42.6
5990,14,2,0,5,0.7,53.8,0,0,1,0,35.5
5991,16,2,0,3,2.4,60.3,0,0,0,5,41.1
5992,18,0,0,3,4.2,64.0,0,2,1,5,63.5
5993,17,1,1,3,2.4,93.3,0,0,1,4,63.4
5994,14,0,1,2,1.3,82.3,0,1,0,5,41.2
5995,15,2,1,5,3.9,97.1,0,1,0,4,65.8
5996,19,2,0,3,1.6,70.9,0,3,1,0,38.5
5997,19,1,1,1,1.1,70.5,0,2,0,4,35.3
5998,18,1,0,1,7.7,64.0,0,1,1,5,91.7
5999,14,2,0,0,4.1,71.9,0,2,0,3,57.2
6000,17,0,1,0,6.5,89.5,0,3,1,2,80.8
6001,18,1,0,5,1.8,84.8,0,0,1,2,49.7
6002,17,2,0,1,4.0,89.5,0,2,1,1,58.2
6003,17,0,1,5,1.2,91.5,0,1,0,3,45.9
6004,16,2,1,2,3.6,50.2,0,3,1,2,53.0
6005,15,0,1,4,6.7,61.9,0,0,1,5,73.6
6006,15,2,1,0,7.2,82.7,0,2,1,5,81.0
6007,18,1,0,5,4.4,72.3,0,0,1,5,71.8
6008,14,2,1,3,2.6,55.9,0,2,0,4,40.5
6009,14,2,1,4,6.0,53.2,0,2,1,5,66.0
6010,16,1,1,0,5.3,97.2,0,3,1,3,85.4
6011,18,2,1,3,4.0,92.4,0,0,1,2,62.4
6012,17,1,1,4,4.1,66.0,0,0,1,3,63.0
6013,17,1,1,1,4.2,82.0,0,0,0,2,68.6
6014,17,2,0,3,3.0,57.3,0,1,1,3,41.2
6015,14,0,0,5,4.4,56.7,1,2,1,0,55.2
6016,15,1,0,4,0.9,66.7,1,3,1,2,42.1
6017,14,0,0,0,4.8,64.1,1,2,0,5,68.2
6018,18,1,1,4,4.2,99.0,1,2,1,4,79.8
6019,18,2,0,4,3.7,51.2,1,1,1,1,48.5
6020,15,0,0,5,2.9,77.4,0,3,1,2,56.8
6021,15,1,1,5,5.2,92.7,0,2,0,4,74.9
6022,15,1,0,1,4.1,51.3,0,0,0,3,52.0
6023,19,2,1,4,1.3,77.7,1,1,1,0,51.0
6024,16,0,0,0,3.3,69.0,0,3,1,0,57.0
6025,18,0,0,0,1.1,60.8,0,1,0,0,27.6
6026,16,0,0,5,3.3,61.8,0,1,0,2,55.0
6027,18,1,0,2,4.5,90.7,0,1,1,3,82.2
6028,17,1,1,3,3.4,73.2,0,1,1,2,60.4
6029,15,2,0,2,3.1,52.3,0,1,0,3,48.1
6030,19,1,1,1,2.6,70.4,1,1,0,5,51.4
6031,18,0,1,2,3.4,90.8,0,1,0,0,68.1
6032,18,2,0,0,1.0,84.5,0,3,1,1,51.3
6033,19,0,1,5,8.0,97.7,1,0,1,3,93.1
6034,15,1,0,2,4.7,88.7,0,2,0,5,66.1
6035,14,1,0,5,5.3,58.5,0,0,1,1,69.5
6036,17,0,0,1,1.9,53.3,0,1,1,3,27.7
6037,15,1,1,2,7.4,73.1,0,2,0,2,94.3
6038,16,1,1,2,4.8,72.2,0,2,1,5,62.5
6039,15,2,1,3,3.6,77.4,0,3,0,1,65.2
6040,16,0,0,4,5.8,83.6,0,0,0,4,87.3
6041,16,2,1,3,2.8,62.7,0,2,0,2,41.6
6042,16,1,1,3,7.5,99.4,0,3,0,2,100.0
6043,18,2,1,0,1.8,74.7,1,3,1,5,36.5
6044,17,0,0,4,6.7,85.7,0,0,1,0,83.1
6045,16,0,0,1,7.7,70.4,1,1,0,5,85.5
6046,14,2,1,2,4.2,84.2,0,2,0,5,64.5
6047,17,1,1,1,7.1,99.2,0,0,1,2,100.0
6048,15,0,0,4,1.0,57.7,0,0,1,2,24.8
6049,15,2,1,3,5.2,71.8,0,1,0,2,69.1
6050,16,0,0,1,3.2,84.9,0,1,1,2,67.0
6051,14,1,1,3,3.2,92.8,0,3,0,4,53.4
6052,16,2,1,0,3.9,81.9,0,3,1,0,65.4
6053,15,2,1,5,5.0,61.6,0,3,1,5,66.9
6054,19,2,0,0,5.1,82.3,0,3,0,5,69.4
6055,19,1,0,1,2.6,81.1,0,2,0,2,59.2
6056,14,0,1,5,3.4,52.2,1,0,0,0,57.0
6057,17,0,1,2,2.4,80.3,1,0,0,1,48.2
6058,17,2,0,0,5.2,76.6,0,0,1,1,79.1
6059,16,1,1,2,1.3,64.5,0,3,1,0,31.1
6060,16,0,1,3,3.7,61.9,0,3,1,4,49.1
6061,18,2,0,2,7.8,88.4,0,1,0,1,98.9
6062,16,2,1,1,7.9,53.2,0,1,0,3,85.1
6063,14,0,1,3,4.4,64.2,0,1,0,4,69.1
6064,16,2,0,2,2.4,85.1,1,3,0,2,52.3
6065,15,1,0,3,4.9,60.5,0,1,0,5,64.7
6066,16,1,1,2,4.2,55.9,0,3,0,3,52.9
6067,15,2,1,0,0.8,99.1,0,2,0,0,40.4
6068,14,0,0,3,7.9,78.3,0,2,0,2,98.7
6069,19,0,0,2,3.0,63.4,0,3,0,4,40.6
6070,14,2,1,3,3.5,57.7,0,3,1,1,58.3
6071,18,1,0,4,4.4,50.4,0,3,0,3,63.7
6072,18,0,0,0,7.1,87.5,0,1,1,5,92.4
6073,17,2,1,1,6.5,67.9,0,0,0,4,70.7
6074,19,0,1,2,2.0,59.7,1,3,1,1,36.6
6075,14,2,1,2,5.9,95.2,0,3,1,3,76.5
6076,15,0,0,0,7.1,84.8,0,0,1,1,85.4
6077,15,1,1,4,5.9,90.5,0,0,0,4,86.4
6078,17,1,1,4,1.5,82.8,1,0,0,3,35.7
6079,17,2,1,5,4.5,95.8,0,3,1,4,69.4
6080,19,1,1,0,6.8,67.2,0,1,1,0,83.4
6081,16,2,0,2,2.0,57.8,0,1,0,2,45.6
6082,15,0,1,0,4.5,50.3,1,0,1,5,59.9
6083,19,1,1,0,5.5,51.7,0,1,0,4,66.9
6084,18,2,1,5,5.3,92.7,0,3,0,2,73.0
6085,18,0,1,2,1.3,80.7,1,2,1,2,48.3
6086,16,2,0,0,2.6,52.3,1,0,0,1,37.2
6087,16,2,0,2,4.6,55.3,0,3,0,4,64.0
6088,16,2,1,4,2.1,84.8,0,0,0,4,48.0
6089,18,0,1,3,3.0,69.2,0,3,0,3,50.6
6090,15,2,0,1,3.6,88.7,0,0,1,3,72.2
6091,19,2,0,0,0.6,96.8,0,3,1,3,36.9
6092,15,0,0,4,4.3,87.8,0,1,0,5,71.7
6093,16,1,0,4,8.0,59.1,0,0,0,2,93.5
6094,15,0,1,2,3.6,82.5,0,0,0,1,56.4
6095,17,1,1,0,2.6,79.8,0,3,1,2,50.7
6096,18,0,0,5,2.4,92.4,0,3,0,4,52.3
6097,19,1,1,3,4.4,60.0,0,3,1,0,64.3
6098,18,1,1,2,3.9,85.9,0,0,1,4,67.8
6099,15,1,1,1,7.0,80.0,0,1,0,2,87.6
6100,15,2,1,4,5.3,73.9,0,2,0,1,79.0
6101,19,2,1,3,3.5,64.6,0,1,0,4,50.1
6102,16,0,1,3,3.4,51.3,0,1,0,2,41.9
6103,14,0,0,2,4.6,90.3,0,3,1,5,78.6
6104,18,0,0,5,2.4,55.4,0,1,0,1,37.9
6105,17,2,1,1,3.7,68.9,0,0,0,4,55.3
6106,14,0,1,2,2.6,74.8,0,2,0,0,51.8
6107,18,0,0,3,4.4,66.5,0,3,0,1,71.5
6108,17,0,1,0,4.6,83.1,0,2,1,4,67.0
6109,17,2,0,4,6.9,66.4,1,1,0,0,84.5
6110,19,1,0,4,2.4,75.8,0,1,1,5,57.8
6111,16,2,0,1,7.3,54.8,0,0,0,5,75.9
6112,16,0,0,2,4.5,71.7,0,1,1,0,70.5
6113,17,1,0,0,6.0,79.2,0,1,0,5,84.4
6114,15,1,1,2,5.1,93.1,0,2,1,5,83.6
6115,14,0,0,0,6.7,59.1,0,0,1,5,83.5
6116,19,2,1,1,5.5,66.9,0,2,1,1,69.6
